title,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Malibu's Most Wanted,2003-04-10,15000000,34000000,86,2.6318,5.1,271,False,John Whitesell,Jamie Kennedy,19000000,0.5588235294117647,Karz Entertainment,Comedy,Crime,
Dumb and Dumberer: When Harry Met Lloyd,2003-04-14,19000000,39267515,85,2.6309,4.1,851,True,Troy Miller,Derek Richardson,20267515,0.5161394857810585,New Line Cinema,Comedy,,
Honey,2003-12-05,18000000,62646763,94,2.6297,6.3,1189,True,Bille Woodruff,Jessica Alba,44646763,0.7126746995690743,NuAmerica Entertainment,Music,Drama,Romance
Vox Lux,2018-09-07,7000000,1300000,114,2.6285,5.8,494,False,Brady Corbet,Natalie Portman,-5700000,-4.384615384615385,Sierra/Affinity,Drama,Music,
It's Complicated,2009-12-23,85000000,219103655,121,2.6284,6.5,1435,False,Nancy Meyers,Meryl Streep,134103655,0.6120557641998259,Universal Pictures,Comedy,Romance,
The Iron Lady,2011-12-26,13000000,115890792,105,2.6276,6.4,1767,False,Phyllida Lloyd,Meryl Streep,102890792,0.8878254279252833,UK Film Council,History,Drama,
The Secrets We Keep,2020-09-16,7200000,615233,97,2.6275,6.0,259,False,Yuval Adler,Noomi Rapace,-6584767,-10.702883297872514,AGC Studios,Thriller,History,Drama
Kickboxer: Retaliation,2018-01-26,13000000,4537,110,2.6275,5.4,306,True,Dimitri Logothetis,Alain Moussi,-12995463,-2864.3295128939826,Our House Films,Action,Drama,
102 Dalmatians,2000-10-07,85000000,183611771,100,2.6266,5.5,1391,True,Kevin Lima,Glenn Close,98611771,0.5370667167084838,Walt Disney Pictures,Family,Comedy,
Valentine's Day,2010-02-10,52000000,216528528,125,2.6258,5.92,3075,False,Garry Marshall,Jessica Alba,164528528,0.7598468872424977,Karz Entertainment,Comedy,Romance,
The Pirates! In an Adventure with Scientists!,2012-03-12,60000000,123054041,88,2.6254,6.5,1126,False,Peter Lord,Hugh Grant,63054041,0.5124093486698255,Aardman,Animation,Adventure,Family
Whitney Houston: I Wanna Dance with Somebody,2022-12-20,50000000,59800000,144,2.6247,7.0,481,False,Kasi Lemmons,Naomi Ackie,9800000,0.16387959866220736,Compelling Pictures,Music,History,Drama
The Santa Clause 3: The Escape Clause,2006-11-02,12000000,84500122,97,2.6224,5.5,1107,True,Michael Lembeck,Tim Allen,72500122,0.8579883707150151,Walt Disney Pictures,Comedy,Family,Adventure
Cat Person,2023-10-06,12000000,282000,118,2.6221,5.741,79,False,Susanna Fogel,Emilia Jones,-11718000,-41.5531914893617,StudioCanal,Thriller,Comedy,
